更新时间：2020-02-17 11:08:08
湖北
武汉,确诊:41152,死亡:1309,治愈:3458
孝感,确诊:3279,死亡:70,治愈:449
黄冈,确诊:2831,死亡:78,治愈:838
荆州,确诊:1501,死亡:37,治愈:305
鄂州,确诊:1274,死亡:35,治愈:244
随州,确诊:1267,死亡:24,治愈:140
襄阳,确诊:1155,死亡:20,治愈:151
黄石,确诊:983,死亡:15,治愈:206
荆门,确诊:915,死亡:33,治愈:132
宜昌,确诊:895,死亡:24,治愈:156
咸宁,确诊:861,死亡:10,治愈:181
十堰,确诊:612,死亡:2,治愈:126
仙桃,确诊:531,死亡:19,治愈:107
天门,确诊:485,死亡:10,治愈:39
恩施州,确诊:249,死亡:4,治愈:81
潜江,确诊:182,死亡:6,治愈:18
神农架,确诊:10,死亡:0,治愈:8
广东
深圳,确诊:415,死亡:2,治愈:131
广州,确诊:339,死亡:0,治愈:121
珠海,确诊:97,死亡:0,治愈:37
东莞,确诊:89,死亡:1,治愈:15
佛山,确诊:84,死亡:0,治愈:23
中山,确诊:66,死亡:0,治愈:34
惠州,确诊:58,死亡:0,治愈:26
汕头,确诊:25,死亡:0,治愈:13
江门,确诊:23,死亡:0,治愈:3
湛江,确诊:22,死亡:0,治愈:11
肇庆,确诊:17,死亡:1,治愈:8
梅州,确诊:16,死亡:0,治愈:7
茂名,确诊:14,死亡:0,治愈:3
阳江,确诊:13,死亡:0,治愈:7
清远,确诊:12,死亡:0,治愈:5
韶关,确诊:10,死亡:0,治愈:4
揭阳,确诊:8,死亡:0,治愈:4
汕尾,确诊:5,死亡:0,治愈:1
潮州,确诊:5,死亡:0,治愈:1
河源,确诊:4,死亡:0,治愈:1
地区待确认,确诊:0,死亡:0,治愈:18
河南
信阳,确诊:262,死亡:2,治愈:28
南阳,确诊:154,死亡:2,治愈:28
郑州,确诊:151,死亡:0,治愈:36
驻马店,确诊:138,死亡:0,治愈:25
商丘,确诊:91,死亡:0,治愈:9
周口,确诊:75,死亡:0,治愈:16
平顶山,确诊:58,死亡:1,治愈:13
新乡,确诊:57,死亡:1,治愈:6
安阳,确诊:51,死亡:0,治愈:10
许昌,确诊:38,死亡:0,治愈:2
漯河,确诊:34,死亡:0,治愈:6
焦作,确诊:32,死亡:1,治愈:1
洛阳,确诊:31,死亡:0,治愈:2
开封,确诊:26,死亡:0,治愈:1
鹤壁,确诊:19,死亡:0,治愈:3
濮阳,确诊:17,死亡:0,治愈:1
三门峡,确诊:7,死亡:0,治愈:3
济源示范区,确诊:5,死亡:0,治愈:0
地区待确认,确诊:0,死亡:9,治愈:248
浙江
温州,确诊:503,死亡:0,治愈:182
杭州,确诊:168,死亡:0,治愈:81
宁波,确诊:156,死亡:0,治愈:62
台州,确诊:146,死亡:0,治愈:63
金华,确诊:55,死亡:0,治愈:24
嘉兴,确诊:43,死亡:0,治愈:11
绍兴,确诊:42,死亡:0,治愈:18
衢州,确诊:21,死亡:0,治愈:9
丽水,确诊:17,死亡:0,治愈:11
舟山,确诊:10,死亡:0,治愈:5
湖州,确诊:10,死亡:0,治愈:4
湖南
长沙,确诊:241,死亡:1,治愈:88
岳阳,确诊:154,死亡:1,治愈:54
邵阳,确诊:101,死亡:1,治愈:64
常德,确诊:79,死亡:0,治愈:31
株洲,确诊:78,死亡:0,治愈:33
娄底,确诊:76,死亡:0,治愈:35
益阳,确诊:59,死亡:0,治愈:27
衡阳,确诊:48,死亡:0,治愈:28
永州,确诊:43,死亡:0,治愈:28
怀化,确诊:40,死亡:0,治愈:32
郴州,确诊:39,死亡:0,治愈:22
湘潭,确诊:35,死亡:0,治愈:15
湘西自治州,确诊:8,死亡:0,治愈:6
张家界,确诊:5,死亡:0,治愈:4
安徽
合肥,确诊:171,死亡:1,治愈:51
蚌埠,确诊:158,死亡:5,治愈:21
阜阳,确诊:153,死亡:0,治愈:41
亳州,确诊:108,死亡:0,治愈:35
安庆,确诊:83,死亡:0,治愈:34
六安,确诊:68,死亡:0,治愈:21
宿州,确诊:40,死亡:0,治愈:16
马鞍山,确诊:36,死亡:0,治愈:12
芜湖,确诊:31,死亡:0,治愈:13
铜陵,确诊:28,死亡:0,治愈:11
淮北,确诊:27,死亡:0,治愈:10
淮南,确诊:25,死亡:0,治愈:8
池州,确诊:17,死亡:0,治愈:6
滁州,确诊:13,死亡:0,治愈:7
黄山,确诊:9,死亡:0,治愈:3
宣城,确诊:6,死亡:0,治愈:4
江西
南昌,确诊:228,死亡:0,治愈:89
新余,确诊:129,死亡:0,治愈:44
上饶,确诊:123,死亡:0,治愈:35
九江,确诊:117,死亡:0,治愈:22
宜春,确诊:106,死亡:0,治愈:24
